job_id,job_title,company,location,skills,experience_required,posted_date
JOB056,DevOps Engineer,Tech Mahindra,Hyderabad,"Python, SQL, Power BI",3,29-07-2025
JOB057,Machine Learning Engineer,Tech Mahindra,Mumbai,"AI, ML, Python, TensorFlow",1,05-08-2025
JOB058,Data Scientist,IBM,Mumbai,"Java, Spring Boot",3,15-08-2025
JOB059,Backend Developer,Capgemini,Chennai,"Cloud, DevOps, Docker",8,24-08-2025
JOB060,Machine Learning Engineer,Tech Mahindra,Delhi,"Cloud, DevOps, Docker",8,18-08-2025
JOB061,Frontend Developer,Cognizant,Mumbai,"Oracle, SQL",7,31-07-2025
JOB062,Machine Learning Engineer,Capgemini,Chennai,"Cloud, DevOps, Docker",4,26-07-2025
JOB063,Software Developer,Capgemini,Mumbai,"JavaScript, React",6,06-08-2025
JOB064,Software Developer,Wipro,Pune,"Python, SQL, Power BI",8,31-07-2025
JOB065,Data Scientist,Capgemini,Delhi,"JavaScript, React",1,10-08-2025
JOB066,Software Developer,Capgemini,Chennai,"Python, SQL, Power BI",2,12-08-2025
JOB067,AI Engineer,Tech Mahindra,Chennai,"Java, Spring Boot",0,02-08-2025
JOB068,Data Scientist,TCS,Hyderabad,"R, Tableau, ML",8,01-08-2025
JOB069,Business Analyst,Tech Mahindra,Bengaluru,"Java, Spring Boot",8,14-08-2025
JOB070,Machine Learning Engineer,Accenture,Mumbai,"C++, Data Structures",2,21-08-2025
JOB071,Frontend Developer,Capgemini,Mumbai,"Cloud, DevOps, Docker",3,29-07-2025
JOB072,AI Engineer,Capgemini,Delhi,"AI, ML, Python, TensorFlow",7,18-08-2025
JOB073,AI Engineer,Infosys,Bengaluru,"Java, Spring Boot",1,29-07-2025
JOB074,Data Analyst,Infosys,Chennai,"Cloud, DevOps, Docker",4,29-07-2025
JOB075,Frontend Developer,TCS,Hyderabad,"Python, SQL, Power BI",6,12-08-2025
JOB076,Frontend Developer,Cognizant,Bengaluru,"AI, ML, Python, TensorFlow",5,06-08-2025
JOB077,Software Developer,Infosys,Hyderabad,"C++, Data Structures",0,26-07-2025
JOB078,Machine Learning Engineer,IBM,Pune,"JavaScript, React",2,27-07-2025
JOB079,Data Scientist,Tech Mahindra,Bengaluru,"Java, Spring Boot",0,20-08-2025
JOB080,Business Analyst,Capgemini,Pune,"Cloud, DevOps, Docker",8,31-07-2025
JOB081,AI Engineer,IBM,Pune,"C++, Data Structures",7,04-08-2025
JOB082,Machine Learning Engineer,Tech Mahindra,Mumbai,"JavaScript, React",1,13-08-2025
JOB083,DevOps Engineer,TCS,Bengaluru,"R, Tableau, ML",3,12-08-2025
JOB084,Data Scientist,IBM,Pune,"Excel, Business Analysis",3,27-07-2025
JOB085,AI Engineer,Cognizant,Mumbai,"Oracle, SQL",8,15-08-2025
JOB086,DevOps Engineer,Capgemini,Bengaluru,"JavaScript, React",2,11-08-2025
JOB087,Data Scientist,Capgemini,Pune,"Java, Spring Boot",0,28-07-2025
JOB088,Software Developer,Wipro,Bengaluru,"R, Tableau, ML",2,08-08-2025
JOB089,Frontend Developer,Infosys,Bengaluru,"JavaScript, React",5,29-07-2025
JOB090,Software Developer,Cognizant,Mumbai,"R, Tableau, ML",2,01-08-2025
JOB091,Data Scientist,Accenture,Chennai,"Cloud, DevOps, Docker",1,21-08-2025
JOB092,Data Scientist,Cognizant,Delhi,"C++, Data Structures",1,18-08-2025
JOB093,Frontend Developer,Cognizant,Pune,"Python, SQL, Power BI",7,24-08-2025
JOB094,Data Analyst,Tech Mahindra,Delhi,"Cloud, DevOps, Docker",7,11-08-2025
JOB095,Business Analyst,IBM,Hyderabad,"R, Tableau, ML",2,05-08-2025
JOB096,Software Developer,Capgemini,Delhi,"Excel, Business Analysis",7,22-08-2025
JOB097,Software Developer,Infosys,Bengaluru,"Java, Spring Boot",4,13-08-2025
JOB098,Software Developer,Tech Mahindra,Mumbai,"Java, Spring Boot",8,22-08-2025
JOB099,Business Analyst,Infosys,Hyderabad,"AI, ML, Python, TensorFlow",0,15-08-2025
JOB100,Data Analyst,IBM,Hyderabad,"AI, ML, Python, TensorFlow",5,01-08-2025
